name	translation
感電付与/氷結患いの穢詛	感电赋予/冻结患的秽咒
<color=#005C5E>ウェーブ開始時、ランダムな敵3体に感電を付与。</color><color=#b00000>ウェーブ開始時、ランダムな味方3人に氷結を付与。</color>	<color=#005C5E>回合开始时，随机赋予3名敌人感电状态。</color><color=#b00000>回合开始时，随机赋予我方3人冻结状态。</color>
氷結付与/氷結患いの穢詛	冻结赋予/冻结患的秽咒
<color=#005C5E>ウェーブ開始時、ランダムな敵3体に氷結を付与。</color><color=#b00000>ウェーブ開始時、ランダムな味方3人に氷結を付与。</color>	<color=#005C5E>回合开始时，随机赋予3名敌人冻结状态。</color><color=#b00000>回合开始时，随机赋予我方3人冻结状态。</color>
与撃超越/癒限減少の穢詛	攻击超越/愈限减少的秽咒
<color=#005C5E>味方全体のダメージ上限50000増加。</color><color=#b00000>味方全体の回復上限40000減少。</color>	<color=#005C5E>我方全体伤害上限增加50000。</color><color=#b00000>我方全体回复上限减少40000。</color>
萌力加速/癒限減少の穢詛	萌力加速/愈限减少的秽咒
<color=#005C5E>味方全体の萌技ゲージ増加量100%増加。</color><color=#b00000>味方全体の回復上限40000減少。</color>	<color=#005C5E>我方全体萌技能量槽增加量提升100%。</color><color=#b00000>我方全体回复上限减少40000。</color>
再動短縮/癒限減少の穢詛	再动缩短/愈限减少的秽咒
<color=#005C5E>ターン開始時のCT減少量1増加。</color><color=#b00000>味方全体の回復上限40000減少。</color>	<color=#005C5E>回合开始时CT减少量增加1。</color><color=#b00000>我方全体回复上限减少40000。</color>
冥力増加/癒限減少の穢詛	冥力增加/愈限减少的秽咒
<color=#005C5E>バトル開始時のMP15増加。</color><color=#b00000>味方全体の回復上限40000減少。</color>	<color=#005C5E>战斗开始时MP增加15。</color><color=#b00000>我方全体回复上限减少40000。</color>
冥力加速/癒限減少の穢詛	冥力加速/愈限减少的秽咒
<color=#005C5E>ターン開始時のMP回復量2増加。</color><color=#b00000>味方全体の回復上限40000減少。</color>	<color=#005C5E>回合开始时MP回复量增加2。</color><color=#b00000>我方全体回复上限减少40000。</color>
効果増幅/癒限減少の穢詛	效果增幅/愈限减少的秽咒
<color=#005C5E>味方全体のバフ効果量50％増加。</color><color=#b00000>味方全体の回復上限40000減少。</color>	<color=#005C5E>我方全体的增益效果提升50%。</color><color=#b00000>我方全体回复上限减少40000。</color>
補助強化/癒限減少の穢詛	辅助强化/愈限减少的秽咒
<color=#005C5E>味方全体の補助効果によるパラメータ増加量50％増加。</color><color=#b00000>味方全体の回復上限40000減少。</color>	<color=#005C5E>我方全体通过辅助效果获得的属性提升量增加50%。</color><color=#b00000>我方全体回复上限减少40000。</color>
持続強化/癒限減少の穢詛	持续强化/愈限减少的秽咒
<color=#005C5E>味方全体の補助効果の持続ターン数2増加。</color><color=#b00000>味方全体の回復上限40000減少。</color>	<color=#005C5E>我方全体的辅助效果持续时间增加2。</color><color=#b00000>我方全体回复上限减少40000。</color>
弱体解除/癒限減少の穢詛	弱体解除/愈限减少的秽咒
<color=#005C5E>ウェーブ開始時、ランダムな味方2人のデバフを全て解除。</color><color=#b00000>味方全体の回復上限40000減少。</color>	<color=#005C5E>回合开始时，随机解除我方2人的所有减益效果。</color><color=#b00000>我方全体回复上限减少40000。</color>
気絶付与/癒限減少の穢詛	眩晕赋予/愈限减少的秽咒
<color=#005C5E>ウェーブ開始時、ランダムな敵2体にスタンを付与。</color><color=#b00000>味方全体の回復上限40000減少。</color>	<color=#005C5E>回合开始时，随机赋予2名敌人眩晕状态。</color><color=#b00000>我方全体回复上限减少40000。</color>
睡眠付与/癒限減少の穢詛	睡眠赋予/愈限减少的秽咒
<color=#005C5E>ウェーブ開始時、ランダムな敵2体に睡眠を付与。</color><color=#b00000>味方全体の回復上限40000減少。</color>	<color=#005C5E>回合开始时，随机赋予2名敌人睡眠状态。</color><color=#b00000>我方全体回复上限减少40000。</color>
忘却付与/癒限減少の穢詛	忘却赋予/愈限减少的秽咒
<color=#005C5E>ウェーブ開始時、ランダムな敵2体に忘却を付与。</color><color=#b00000>味方全体の回復上限40000減少。</color>	<color=#005C5E>回合开始时，随机赋予2名敌人遗忘状态。</color><color=#b00000>我方全体回复上限减少40000。</color>
鈍重付与/癒限減少の穢詛	迟钝赋予/愈限减少的秽咒
<color=#005C5E>ウェーブ開始時、ランダムな敵2体に鈍重を付与。</color><color=#b00000>味方全体の回復上限40000減少。</color>	<color=#005C5E>回合开始时，随机赋予2名敌人迟钝状态。</color><color=#b00000>我方全体回复上限减少40000。</color>
魅了付与/癒限減少の穢詛	魅惑赋予/愈限减少的秽咒
<color=#005C5E>ウェーブ開始時、ランダムな敵2体に魅了を付与。</color><color=#b00000>味方全体の回復上限40000減少。</color>	<color=#005C5E>回合开始时，随机赋予2名敌人魅惑状态。</color><color=#b00000>我方全体回复上限减少40000。</color>
遅滞付与/癒限減少の穢詛	迟滞赋予/愈限减少的秽咒
<color=#005C5E>ウェーブ開始時、ランダムな敵2体に遅滞を付与。</color><color=#b00000>味方全体の回復上限40000減少。</color>	<color=#005C5E>回合开始时，随机赋予2名敌人迟滞状态。</color><color=#b00000>我方全体回复上限减少40000。</color>
弱体付与/癒限減少の穢詛	弱体赋予/愈限减少的秽咒
<color=#005C5E>ウェーブ開始時、ランダムな敵2体に弱体を付与。</color><color=#b00000>味方全体の回復上限40000減少。</color>	<color=#005C5E>回合开始时，随机赋予2名敌人弱体状态。</color><color=#b00000>我方全体回复上限减少40000。</color>
支援攻撃/癒限減少の穢詛	支援攻击/愈限减少的秽咒
<color=#005C5E>ウェーブ開始時、敵全体に150000のダメージを与える。</color><color=#b00000>味方全体の回復上限40000減少。</color>	<color=#005C5E>回合开始时，对敌方全体造成150000伤害。</color><color=#b00000>我方全体回复上限减少40000。</color>
与撃超越/癒力減少の穢詛	攻击超越/愈力减少的秽咒
<color=#005C5E>味方全体のダメージ上限50000増加。</color><color=#b00000>味方全体の回復量40%減少。</color>	<color=#005C5E>我方全体伤害上限增加50000。</color><color=#b00000>我方全体回复量减少40%。</color>
萌力加速/癒力減少の穢詛	萌力加速/愈力减少的秽咒
<color=#005C5E>味方全体の萌技ゲージ増加量100%増加。</color><color=#b00000>味方全体の回復量40%減少。</color>	<color=#005C5E>我方全体萌技能量槽增加量提升100%。</color><color=#b00000>我方全体回复量减少40%。</color>
再動短縮/癒力減少の穢詛	再动缩短/愈力减少的秽咒
<color=#005C5E>ターン開始時のCT減少量1増加。</color><color=#b00000>味方全体の回復量40%減少。</color>	<color=#005C5E>回合开始时CT减少量增加1。</color><color=#b00000>我方全体回复量减少40%。</color>
冥力増加/癒力減少の穢詛	冥力增加/愈力减少的秽咒
<color=#005C5E>バトル開始時のMP15増加。</color><color=#b00000>味方全体の回復量40%減少。</color>	<color=#005C5E>战斗开始时MP增加15。</color><color=#b00000>我方全体回复量减少40%。</color>
冥力加速/癒力減少の穢詛	冥力加速/愈力减少的秽咒
<color=#005C5E>ターン開始時のMP回復量2増加。</color><color=#b00000>味方全体の回復量40%減少。</color>	<color=#005C5E>回合开始时MP回复量增加2。</color><color=#b00000>我方全体回复量减少40%。</color>
効果増幅/癒力減少の穢詛	效果增幅/愈力减少的秽咒
<color=#005C5E>味方全体のバフ効果量50％増加。</color><color=#b00000>味方全体の回復量40%減少。</color>	<color=#005C5E>我方全体的增益效果提升50%。</color><color=#b00000>我方全体回复量减少40%。</color>
補助強化/癒力減少の穢詛	辅助强化/愈力减少的秽咒
<color=#005C5E>味方全体の補助効果によるパラメータ増加量50％増加。</color><color=#b00000>味方全体の回復量40%減少。</color>	<color=#005C5E>我方全体通过辅助效果获得的属性提升量增加50%。</color><color=#b00000>我方全体回复量减少40%。</color>
持続強化/癒力減少の穢詛	持续强化/愈力减少的秽咒
<color=#005C5E>味方全体の補助効果の持続ターン数2増加。</color><color=#b00000>味方全体の回復量40%減少。</color>	<color=#005C5E>我方全体的辅助效果持续时间增加2。</color><color=#b00000>我方全体回复量减少40%。</color>
弱体解除/癒力減少の穢詛	弱体解除/愈力减少的秽咒
<color=#005C5E>ウェーブ開始時、ランダムな味方2人のデバフを全て解除。</color><color=#b00000>味方全体の回復量40%減少。</color>	<color=#005C5E>回合开始时，随机解除我方2人的所有减益效果。</color><color=#b00000>我方全体回复量减少40%。</color>
気絶付与/癒力減少の穢詛	眩晕赋予/愈力减少的秽咒
<color=#005C5E>ウェーブ開始時、ランダムな敵2体にスタンを付与。</color><color=#b00000>味方全体の回復量40%減少。</color>	<color=#005C5E>回合开始时，随机赋予2名敌人眩晕状态。</color><color=#b00000>我方全体回复量减少40%。</color>
睡眠付与/癒力減少の穢詛	睡眠赋予/愈力减少的秽咒
<color=#005C5E>ウェーブ開始時、ランダムな敵2体に睡眠を付与。</color><color=#b00000>味方全体の回復量40%減少。</color>	<color=#005C5E>回合开始时，随机赋予2名敌人睡眠状态。</color><color=#b00000>我方全体回复量减少40%。</color>
忘却付与/癒力減少の穢詛	忘却赋予/愈力减少的秽咒
<color=#005C5E>ウェーブ開始時、ランダムな敵2体に忘却を付与。</color><color=#b00000>味方全体の回復量40%減少。</color>	<color=#005C5E>回合开始时，随机赋予2名敌人遗忘状态。</color><color=#b00000>我方全体回复量减少40%。</color>
鈍重付与/癒力減少の穢詛	迟钝赋予/愈力减少的秽咒
<color=#005C5E>ウェーブ開始時、ランダムな敵2体に鈍重を付与。</color><color=#b00000>味方全体の回復量40%減少。</color>	<color=#005C5E>回合开始时，随机赋予2名敌人迟钝状态。</color><color=#b00000>我方全体回复量减少40%。</color>
魅了付与/癒力減少の穢詛	魅惑赋予/愈力减少的秽咒
<color=#005C5E>ウェーブ開始時、ランダムな敵2体に魅了を付与。</color><color=#b00000>味方全体の回復量40%減少。</color>	<color=#005C5E>回合开始时，随机赋予2名敌人魅惑状态。</color><color=#b00000>我方全体回复量减少40%。</color>
遅滞付与/癒力減少の穢詛	迟滞赋予/愈力减少的秽咒
<color=#005C5E>ウェーブ開始時、ランダムな敵2体に遅滞を付与。</color><color=#b00000>味方全体の回復量40%減少。</color>	<color=#005C5E>回合开始时，随机赋予2名敌人迟滞状态。</color><color=#b00000>我方全体回复量减少40%。</color>
弱体付与/癒力減少の穢詛	弱体赋予/愈力减少的秽咒
<color=#005C5E>ウェーブ開始時、ランダムな敵2体に弱体を付与。</color><color=#b00000>味方全体の回復量40%減少。</color>	<color=#005C5E>回合开始时，随机赋予2名敌人弱体状态。</color><color=#b00000>我方全体回复量减少40%。</color>
支援攻撃/癒力減少の穢詛	支援攻击/愈力减少的秽咒
<color=#005C5E>ウェーブ開始時、敵全体に150000のダメージを与える。</color><color=#b00000>味方全体の回復量40%減少。</color>	<color=#005C5E>回合开始时，对敌方全体造成150000伤害。</color><color=#b00000>我方全体回复量减少40%。</color>
与撃超越/抗力減少の穢詛	攻击超越/抗力减少的秽咒
<color=#005C5E>味方全体のダメージ上限50000増加。</color><color=#b00000>味方全体の全ての状態異常抵抗率減少。</color>	<color=#005C5E>我方全体伤害上限增加50000。</color><color=#b00000>我方全体对所有异常状态的抵抗率减少。</color>
萌力加速/抗力減少の穢詛	萌力加速/抗力减少的秽咒
<color=#005C5E>味方全体の萌技ゲージ増加量100%増加。</color><color=#b00000>味方全体の全ての状態異常抵抗率減少。</color>	<color=#005C5E>我方全体萌技能量槽增加量提升100%。</color><color=#b00000>我方全体对所有异常状态的抵抗率减少。</color>
再動短縮/抗力減少の穢詛	再动缩短/抗力减少的秽咒
<color=#005C5E>ターン開始時のCT減少量1増加。</color><color=#b00000>味方全体の全ての状態異常抵抗率減少。</color>	<color=#005C5E>回合开始时CT减少量增加1。</color><color=#b00000>我方全体对所有异常状态的抵抗率减少。</color>
冥力増加/抗力減少の穢詛	冥力增加/抗力减少的秽咒
<color=#005C5E>バトル開始時のMP15増加。</color><color=#b00000>味方全体の全ての状態異常抵抗率減少。</color>	<color=#005C5E>战斗开始时MP增加15。</color><color=#b00000>我方全体对所有异常状态的抵抗率减少。</color>
冥力加速/抗力減少の穢詛	冥力加速/抗力减少的秽咒
<color=#005C5E>ターン開始時のMP回復量2増加。</color><color=#b00000>味方全体の全ての状態異常抵抗率減少。</color>	<color=#005C5E>回合开始时MP回复量增加2。</color><color=#b00000>我方全体对所有异常状态的抵抗率减少。</color>
萌技強化/抗力減少の穢詛	萌技强化/抗力减少的秽咒
<color=#005C5E>味方全体の萌技威力3000強化。</color><color=#b00000>味方全体の全ての状態異常抵抗率減少。</color>	<color=#005C5E>我方全体萌技威力强化3000。</color><color=#b00000>我方全体对所有异常状态的抵抗率减少。</color>
特技強化/抗力減少の穢詛	特技强化/抗力减少的秽咒
<color=#005C5E>味方全体の通常攻撃以外のスキルの威力3000強化。</color><color=#b00000>味方全体の全ての状態異常抵抗率減少。</color>	<color=#005C5E>我方全体普通攻击以外的技能威力强化3000。</color><color=#b00000>我方全体对所有异常状态的抵抗率减少。</color>
効果増幅/抗力減少の穢詛	效果增幅/抗力减少的秽咒
<color=#005C5E>味方全体のバフ効果量50％増加。</color><color=#b00000>味方全体の全ての状態異常抵抗率減少。</color>	<color=#005C5E>我方全体的增益效果提升50%。</color><color=#b00000>我方全体对所有异常状态的抵抗率减少。</color>
補助強化/抗力減少の穢詛	辅助强化/抗力减少的秽咒
<color=#005C5E>味方全体の補助効果によるパラメータ増加量50％増加。</color><color=#b00000>味方全体の全ての状態異常抵抗率減少。</color>	<color=#005C5E>我方全体通过辅助效果获得的属性提升量增加50%。</color><color=#b00000>我方全体对所有异常状态的抵抗率减少。</color>
持続強化/抗力減少の穢詛	持续强化/抗力减少的秽咒
<color=#005C5E>味方全体の補助効果の持続ターン数2増加。</color><color=#b00000>味方全体の全ての状態異常抵抗率減少。</color>	<color=#005C5E>我方全体的辅助效果持续时间增加2。</color><color=#b00000>我方全体对所有异常状态的抵抗率减少。</color>
弱体解除/抗力減少の穢詛	弱体解除/抗力减少的秽咒
<color=#005C5E>ウェーブ開始時、ランダムな味方2人のデバフを全て解除。</color><color=#b00000>味方全体の全ての状態異常抵抗率減少。</color>	<color=#005C5E>回合开始时，随机解除我方2人的所有减益效果。</color><color=#b00000>我方全体对所有异常状态的抵抗率减少。</color>
気絶付与/抗力減少の穢詛	眩晕赋予/抗力减少的秽咒
<color=#005C5E>ウェーブ開始時、ランダムな敵2体にスタンを付与。</color><color=#b00000>味方全体の全ての状態異常抵抗率減少。</color>	<color=#005C5E>回合开始时，随机赋予2名敌人眩晕状态。</color><color=#b00000>我方全体对所有异常状态的抵抗率减少。</color>
睡眠付与/抗力減少の穢詛	睡眠赋予/抗力减少的秽咒
<color=#005C5E>ウェーブ開始時、ランダムな敵2体に睡眠を付与。</color><color=#b00000>味方全体の全ての状態異常抵抗率減少。</color>	<color=#005C5E>回合开始时，随机赋予2名敌人睡眠状态。</color><color=#b00000>我方全体对所有异常状态的抵抗率减少。</color>
忘却付与/抗力減少の穢詛	忘却赋予/抗力减少的秽咒
<color=#005C5E>ウェーブ開始時、ランダムな敵2体に忘却を付与。</color><color=#b00000>味方全体の全ての状態異常抵抗率減少。</color>	<color=#005C5E>回合开始时，随机赋予2名敌人遗忘状态。</color><color=#b00000>我方全体对所有异常状态的抵抗率减少。</color>
鈍重付与/抗力減少の穢詛	迟钝赋予/抗力减少的秽咒
<color=#005C5E>ウェーブ開始時、ランダムな敵2体に鈍重を付与。</color><color=#b00000>味方全体の全ての状態異常抵抗率減少。</color>	<color=#005C5E>回合开始时，随机赋予2名敌人迟钝状态。</color><color=#b00000>我方全体对所有异常状态的抵抗率减少。</color>
魅了付与/抗力減少の穢詛	魅惑赋予/抗力减少的秽咒
<color=#005C5E>ウェーブ開始時、ランダムな敵2体に魅了を付与。</color><color=#b00000>味方全体の全ての状態異常抵抗率減少。</color>	<color=#005C5E>回合开始时，随机赋予2名敌人魅惑状态。</color><color=#b00000>我方全体对所有异常状态的抵抗率减少。</color>
遅滞付与/抗力減少の穢詛	迟滞赋予/抗力减少的秽咒
<color=#005C5E>ウェーブ開始時、ランダムな敵2体に遅滞を付与。</color><color=#b00000>味方全体の全ての状態異常抵抗率減少。</color>	<color=#005C5E>回合开始时，随机赋予2名敌人迟滞状态。</color><color=#b00000>我方全体对所有异常状态的抵抗率减少。</color>
弱体付与/抗力減少の穢詛	弱体赋予/抗力减少的秽咒
<color=#005C5E>ウェーブ開始時、ランダムな敵2体に弱体を付与。</color><color=#b00000>味方全体の全ての状態異常抵抗率減少。</color>	<color=#005C5E>回合开始时，随机赋予2名敌人弱体状态。</color><color=#b00000>我方全体对所有异常状态的抵抗率减少。</color>
支援攻撃/抗力減少の穢詛	支援攻击/抗力减少的秽咒
<color=#005C5E>ウェーブ開始時、敵全体に150000のダメージを与える。</color><color=#b00000>味方全体の全ての状態異常抵抗率減少。</color>	<color=#005C5E>回合开始时，对敌方全体造成150000伤害。</color><color=#b00000>我方全体对所有异常状态的抵抗率减少。</color>
与撃超越/感応減少の穢詛	攻击超越/感应减少的秽咒
<color=#005C5E>味方全体のダメージ上限50000増加。</color><color=#b00000>味方全体の萌技ゲージ増加量50%減少。</color>	<color=#005C5E>我方全体伤害上限增加50000。</color><color=#b00000>我方全体萌技能量槽增加量减少50%。</color>
抵抗強化/感応減少の穢詛	抵抗强化/感应减少的秽咒
<color=#005C5E>味方全体の全ての状態異常抵抗率増加。</color><color=#b00000>味方全体の萌技ゲージ増加量50%減少。</color>	<color=#005C5E>我方全体对所有异常状态的抵抗率提升。</color><color=#b00000>我方全体萌技能量槽增加量减少50%。</color>
冥力増加/感応減少の穢詛	冥力增加/感应减少的秽咒
<color=#005C5E>バトル開始時のMP15増加。</color><color=#b00000>味方全体の萌技ゲージ増加量50%減少。</color>	<color=#005C5E>战斗开始时MP增加15。</color><color=#b00000>我方全体萌技能量槽增加量减少50%。</color>
冥力加速/感応減少の穢詛	冥力加速/感应减少的秽咒
<color=#005C5E>ターン開始時のMP回復量2増加。</color><color=#b00000>味方全体の萌技ゲージ増加量50%減少。</color>	<color=#005C5E>回合开始时MP回复量增加2。</color><color=#b00000>我方全体萌技能量槽增加量减少50%。</color>
効果増幅/感応減少の穢詛	效果增幅/感应减少的秽咒
<color=#005C5E>味方全体のバフ効果量50％増加。</color><color=#b00000>味方全体の萌技ゲージ増加量50%減少。</color>	<color=#005C5E>我方全体的增益效果提升50%。</color><color=#b00000>我方全体萌技能量槽增加量减少50%。</color>
補助強化/感応減少の穢詛	辅助强化/感应减少的秽咒
<color=#005C5E>味方全体の補助効果によるパラメータ増加量50％増加。</color><color=#b00000>味方全体の萌技ゲージ増加量50%減少。</color>	<color=#005C5E>我方全体通过辅助效果获得的属性提升量增加50%。</color><color=#b00000>我方全体萌技能量槽增加量减少50%。</color>
持続強化/感応減少の穢詛	持续强化/感应减少的秽咒
<color=#005C5E>味方全体の補助効果の持続ターン数2増加。</color><color=#b00000>味方全体の萌技ゲージ増加量50%減少。</color>	<color=#005C5E>我方全体的辅助效果持续时间增加2。</color><color=#b00000>我方全体萌技能量槽增加量减少50%。</color>
継続回復/感応減少の穢詛	持续回复/感应减少的秽咒
<color=#005C5E>ターン開始時、最もHPが少ない味方のHP30000回復。</color><color=#b00000>味方全体の萌技ゲージ増加量50%減少。</color>	<color=#005C5E>回合开始时，回复我方HP最低的成员30000 HP。</color><color=#b00000>我方全体萌技能量槽增加量减少50%。</color>
快癒/感応減少の穢詛	快愈/感应减少的秽咒
<color=#005C5E>ウェーブ開始時、ランダムな味方4人の状態異常を1つ解除。</color><color=#b00000>味方全体の萌技ゲージ増加量50%減少。</color>	<color=#005C5E>回合开始时，随机解除我方4人的1个异常状态。</color><color=#b00000>我方全体萌技能量槽增加量减少50%。</color>
弱体解除/感応減少の穢詛	弱体解除/感应减少的秽咒
<color=#005C5E>ウェーブ開始時、ランダムな味方2人のデバフを全て解除。</color><color=#b00000>味方全体の萌技ゲージ増加量50%減少。</color>	<color=#005C5E>回合开始时，随机解除我方2人的所有减益效果。</color><color=#b00000>我方全体萌技能量槽增加量减少50%。</color>
与撃超越/強化減少の穢詛	攻击超越/强化减少的秽咒
<color=#005C5E>味方全体のダメージ上限50000増加。</color><color=#b00000>味方全体のバフ効果量50%減少。</color>	<color=#005C5E>我方全体伤害上限增加50000。</color><color=#b00000>我方全体的增益效果减少50%。</color>
抵抗強化/強化減少の穢詛	抵抗强化/强化减少的秽咒
<color=#005C5E>味方全体の全ての状態異常抵抗率増加。</color><color=#b00000>味方全体のバフ効果量50%減少。</color>	<color=#005C5E>我方全体对所有异常状态的抵抗率提升。</color><color=#b00000>我方全体的增益效果减少50%。</color>
萌力加速/強化減少の穢詛	萌力加速/强化减少的秽咒
<color=#005C5E>味方全体の萌技ゲージ増加量100%増加。</color><color=#b00000>味方全体のバフ効果量50%減少。</color>	<color=#005C5E>我方全体萌技能量槽增加量提升100%。</color><color=#b00000>我方全体的增益效果减少50%。</color>
再動短縮/強化減少の穢詛	再动缩短/强化减少的秽咒
<color=#005C5E>ターン開始時のCT減少量1増加。</color><color=#b00000>味方全体のバフ効果量50%減少。</color>	<color=#005C5E>回合开始时CT减少量增加1。</color><color=#b00000>我方全体的增益效果减少50%。</color>
萌技強化/強化減少の穢詛	萌技强化/强化减少的秽咒
<color=#005C5E>味方全体の萌技威力3000強化。</color><color=#b00000>味方全体のバフ効果量50%減少。</color>	<color=#005C5E>我方全体萌技威力强化3000。</color><color=#b00000>我方全体的增益效果减少50%。</color>
特技強化/強化減少の穢詛	特技强化/强化减少的秽咒
<color=#005C5E>味方全体の通常攻撃以外のスキルの威力3000強化。</color><color=#b00000>味方全体のバフ効果量50%減少。</color>	<color=#005C5E>我方全体普通攻击以外的技能威力强化3000。</color><color=#b00000>我方全体的增益效果减少50%。</color>
継続回復/強化減少の穢詛	持续回复/强化减少的秽咒
<color=#005C5E>ターン開始時、最もHPが少ない味方のHP30000回復。</color><color=#b00000>味方全体のバフ効果量50%減少。</color>	<color=#005C5E>回合开始时，回复我方HP最低的成员30000 HP。</color><color=#b00000>我方全体的增益效果减少50%。</color>
快癒/強化減少の穢詛	快愈/强化减少的秽咒
<color=#005C5E>ウェーブ開始時、ランダムな味方2人の状態異常を1つ解除。</color><color=#b00000>味方全体のバフ効果量50%減少。</color>	<color=#005C5E>回合开始时，随机解除我方2人的1个异常状态。</color><color=#b00000>我方全体的增益效果减少50%。</color>
気絶付与/強化減少の穢詛	眩晕赋予/强化减少的秽咒
<color=#005C5E>ウェーブ開始時、ランダムな敵2体にスタンを付与。</color><color=#b00000>味方全体のバフ効果量50%減少。</color>	<color=#005C5E>回合开始时，随机赋予2名敌人眩晕状态。</color><color=#b00000>我方全体的增益效果减少50%。</color>
睡眠付与/強化減少の穢詛	睡眠赋予/强化减少的秽咒
<color=#005C5E>ウェーブ開始時、ランダムな敵2体に睡眠を付与。</color><color=#b00000>味方全体のバフ効果量50%減少。</color>	<color=#005C5E>回合开始时，随机赋予2名敌人睡眠状态。</color><color=#b00000>我方全体的增益效果减少50%。</color>
忘却付与/強化減少の穢詛	忘却赋予/强化减少的秽咒
<color=#005C5E>ウェーブ開始時、ランダムな敵2体に忘却を付与。</color><color=#b00000>味方全体のバフ効果量50%減少。</color>	<color=#005C5E>回合开始时，随机赋予2名敌人遗忘状态。</color><color=#b00000>我方全体的增益效果减少50%。</color>
鈍重付与/強化減少の穢詛	迟钝赋予/强化减少的秽咒
<color=#005C5E>ウェーブ開始時、ランダムな敵2体に鈍重を付与。</color><color=#b00000>味方全体のバフ効果量50%減少。</color>	<color=#005C5E>回合开始时，随机赋予2名敌人迟钝状态。</color><color=#b00000>我方全体的增益效果减少50%。</color>
魅了付与/強化減少の穢詛	魅惑赋予/强化减少的秽咒
<color=#005C5E>ウェーブ開始時、ランダムな敵2体に魅了を付与。</color><color=#b00000>味方全体のバフ効果量50%減少。</color>	<color=#005C5E>回合开始时，随机赋予2名敌人魅惑状态。</color><color=#b00000>我方全体的增益效果减少50%。</color>
遅滞付与/強化減少の穢詛	迟滞赋予/强化减少的秽咒
<color=#005C5E>ウェーブ開始時、ランダムな敵2体に遅滞を付与。</color><color=#b00000>味方全体のバフ効果量50%減少。</color>	<color=#005C5E>回合开始时，随机赋予2名敌人迟滞状态。</color><color=#b00000>我方全体的增益效果减少50%。</color>
弱体付与/強化減少の穢詛	弱体赋予/强化减少的秽咒
<color=#005C5E>ウェーブ開始時、ランダムな敵2体に弱体を付与。</color><color=#b00000>味方全体のバフ効果量50%減少。</color>	<color=#005C5E>回合开始时，随机赋予2名敌人弱体状态。</color><color=#b00000>我方全体的增益效果减少50%。</color>
支援攻撃/強化減少の穢詛	支援攻击/强化减少的秽咒
<color=#005C5E>ウェーブ開始時、敵全体に150000のダメージを与える。</color><color=#b00000>味方全体のバフ効果量50%減少。</color>	<color=#005C5E>回合开始时，对敌方全体造成150000伤害。</color><color=#b00000>我方全体的增益效果减少50%。</color>
与撃超越/補助減少の穢詛	攻击超越/辅助减少的秽咒
<color=#005C5E>味方全体のダメージ上限50000増加。</color><color=#b00000>味方全体の補助効果によるパラメータ増加量50%減少。</color>	<color=#005C5E>我方全体伤害上限增加50000。</color><color=#b00000>我方全体通过辅助效果获得的属性提升量减少50%。</color>
抵抗強化/補助減少の穢詛	抵抗强化/辅助减少的秽咒
<color=#005C5E>味方全体の全ての状態異常抵抗率増加。</color><color=#b00000>味方全体の補助効果によるパラメータ増加量50%減少。</color>	<color=#005C5E>我方全体对所有异常状态的抵抗率提升。</color><color=#b00000>我方全体通过辅助效果获得的属性提升量减少50%。</color>
萌力加速/補助減少の穢詛	萌力加速/辅助减少的秽咒
<color=#005C5E>味方全体の萌技ゲージ増加量100%増加。</color><color=#b00000>味方全体の補助効果によるパラメータ増加量50%減少。</color>	<color=#005C5E>我方全体萌技能量槽增加量提升100%。</color><color=#b00000>我方全体通过辅助效果获得的属性提升量减少50%。</color>
再動短縮/補助減少の穢詛	再动缩短/辅助减少的秽咒
<color=#005C5E>ターン開始時のCT減少量1増加。</color><color=#b00000>味方全体の補助効果によるパラメータ増加量50%減少。</color>	<color=#005C5E>回合开始时CT减少量增加1。</color><color=#b00000>我方全体通过辅助效果获得的属性提升量减少50%。</color>
萌技強化/補助減少の穢詛	萌技强化/辅助减少的秽咒
<color=#005C5E>味方全体の萌技威力3000強化。</color><color=#b00000>味方全体の補助効果によるパラメータ増加量50%減少。</color>	<color=#005C5E>我方全体萌技威力强化3000。</color><color=#b00000>我方全体通过辅助效果获得的属性提升量减少50%。</color>
特技強化/補助減少の穢詛	特技强化/辅助减少的秽咒
<color=#005C5E>味方全体の通常攻撃以外のスキルの威力3000強化。</color><color=#b00000>味方全体の補助効果によるパラメータ増加量50%減少。</color>	<color=#005C5E>我方全体普通攻击以外的技能威力强化3000。</color><color=#b00000>我方全体通过辅助效果获得的属性提升量减少50%。</color>
継続回復/補助減少の穢詛	持续回复/辅助减少的秽咒
<color=#005C5E>ターン開始時、最もHPが少ない味方のHP30000回復。</color><color=#b00000>味方全体の補助効果によるパラメータ増加量50%減少。</color>	<color=#005C5E>回合开始时，回复我方HP最低的成员30000 HP。</color><color=#b00000>我方全体通过辅助效果获得的属性提升量减少50%。</color>
快癒/補助減少の穢詛	快愈/辅助减少的秽咒
<color=#005C5E>ウェーブ開始時、ランダムな味方2人の状態異常を1つ解除。</color><color=#b00000>味方全体の補助効果によるパラメータ増加量50%減少。</color>	<color=#005C5E>回合开始时，随机解除我方2人的1个异常状态。</color><color=#b00000>我方全体通过辅助效果获得的属性提升量减少50%。</color>
気絶付与/補助減少の穢詛	眩晕赋予/辅助减少的秽咒
